product_a,product_b,times_bought_together
FUR-CH-5380,TEC-AC-3386,2
OFF-AR-3477,OFF-ST-5700,2
OFF-BI-4816,OFF-ST-4268,2
OFF-ST-4079,OFF-ST-5706,2
OFF-AR-3528,TEC-PH-3806,2
FUR-FU-5724,OFF-AR-3528,2
OFF-AR-3527,OFF-ST-4261,2
FUR-FU-3934,OFF-BI-4809,2
FUR-FU-4074,TEC-MA-5495,2
FUR-BO-3906,OFF-PA-5893,2
OFF-BI-3713,OFF-ST-5693,2
OFF-BI-3734,TEC-AC-5204,2
OFF-AR-5931,TEC-MA-4210,2
OFF-BI-4811,OFF-BI-4826,2
FUR-BO-3625,OFF-ST-6025,2
OFF-BI-4828,OFF-ST-4061,2
OFF-BI-2894,OFF-BI-3249,2
OFF-AR-3533,OFF-ST-6033,2
OFF-BI-4825,OFF-FA-6200,2
FUR-FU-3935,OFF-BI-4815,2
FUR-BO-3647,OFF-ST-5693,2
OFF-AR-3501,OFF-ST-4293,2
OFF-AR-5922,OFF-BI-4809,2
OFF-AR-3462,OFF-AR-3490,2
FUR-BO-3647,OFF-FA-6194,2
OFF-AR-3540,OFF-ST-5711,2
OFF-BI-6376,OFF-PA-3995,2
OFF-FA-2959,OFF-ST-6068,2
FUR-CH-5757,OFF-AR-3468,2
OFF-BI-4805,OFF-ST-4057,2
OFF-BI-2917,TEC-CO-5992,2
OFF-AR-5911,OFF-AR-5920,2
OFF-AR-6120,OFF-ST-6262,2
OFF-AR-6120,OFF-FA-3062,2
FUR-FU-6236,OFF-ST-4079,2
FUR-CH-5372,OFF-LA-3300,2
FUR-BO-4848,OFF-AR-3552,2
OFF-BI-2902,OFF-ST-4259,2
FUR-FU-5721,OFF-PA-4177,2
OFF-AR-3539,OFF-BI-4803,2
OFF-ST-4108,TEC-PH-3803,2
FUR-BO-4848,OFF-PA-4150,2
OFF-BI-6385,OFF-BI-6405,2
OFF-EN-3088,OFF-ST-5710,2
OFF-ST-4080,TEC-PH-5837,2
OFF-BI-3714,OFF-ST-5702,2
OFF-AP-4733,OFF-ST-6262,2
OFF-AR-3552,OFF-ST-6262,2
OFF-BI-3257,OFF-LA-6044,2
OFF-FA-2950,OFF-PA-5876,2
OFF-BI-3293,OFF-BI-3739,2
FUR-FU-6243,OFF-EN-5039,2
OFF-BI-2900,OFF-BI-3725,2
OFF-BI-2900,OFF-BI-4816,2
OFF-ST-4263,TEC-PH-5831,2
OFF-AR-3454,OFF-AR-5932,2
OFF-AR-3525,OFF-PA-4161,2
OFF-AR-3525,TEC-PH-5813,2
OFF-PA-4161,TEC-PH-5813,2
OFF-AR-3476,OFF-LA-6035,2
FUR-CH-5808,OFF-AR-3499,2
OFF-BI-3247,OFF-EN-5023,2
OFF-BI-2881,OFF-ST-4251,2
OFF-BI-6402,TEC-AC-3392,2
FUR-CH-5752,OFF-BI-2917,2
OFF-ST-5694,OFF-ST-6282,2
OFF-AP-4512,OFF-ST-4251,2
FUR-BO-5780,OFF-ST-4031,2
FUR-BO-5788,OFF-BI-4809,2
OFF-AR-3555,OFF-BI-6372,2
OFF-BI-3292,OFF-FA-3072,2
OFF-BI-4828,TEC-AC-4157,2
OFF-ST-6057,OFF-ST-6231,2
OFF-BI-2900,OFF-ST-6057,2
OFF-BI-2884,OFF-ST-4260,2
OFF-AR-5932,OFF-AR-6117,2
OFF-ST-4057,TEC-CO-3678,2
OFF-BI-3737,OFF-ST-6283,2
OFF-ST-5693,OFF-ST-5710,2
OFF-ST-6248,TEC-PH-5359,2
OFF-AR-3462,OFF-AR-3494,2
OFF-BI-2901,OFF-LA-5384,2
OFF-AR-5925,OFF-BI-6385,2
FUR-FU-4043,OFF-EN-3656,2
OFF-ST-6248,TEC-PH-5843,2
FUR-BO-3647,FUR-BO-5951,2
OFF-AR-6121,OFF-ST-4263,2
FUR-CH-5803,OFF-BI-4828,2
OFF-BI-3722,OFF-BI-4828,2
OFF-AR-5156,OFF-BI-3308,2
OFF-FA-6129,TEC-PH-3121,2
OFF-BI-4358,TEC-PH-3122,2
OFF-FA-6129,OFF-PA-6513,2
OFF-FA-6129,TEC-PH-5648,2
OFF-AR-3479,OFF-FA-6129,2
OFF-FA-6129,TEC-PH-6097,2
OFF-AR-3446,OFF-FA-6129,2
FUR-CH-4620,OFF-FA-6129,2
FUR-FU-4109,OFF-BI-5618,2
OFF-PA-4460,OFF-ST-3059,2
OFF-PA-6444,OFF-PA-6589,2
OFF-BI-4375,OFF-BI-4885,2
FUR-FU-3923,OFF-BI-5665,2
OFF-FA-6129,OFF-SU-2999,2
OFF-FA-6129,OFF-ST-4288,2
FUR-CH-4398,TEC-PH-3812,2
OFF-FA-6129,TEC-MA-3173,2
OFF-AR-5292,OFF-BI-2911,2
FUR-CH-5423,OFF-FA-6129,2
FUR-CH-4709,OFF-BI-4352,2
OFF-PA-6472,OFF-ST-6627,2
OFF-BI-4352,OFF-FA-6129,2
OFF-BI-4339,OFF-FA-6129,2
OFF-FA-6129,OFF-ST-6293,2
OFF-BI-2905,TEC-PH-4800,2
OFF-LA-3205,TEC-AC-5106,2
FUR-FU-4329,OFF-FA-2916,2
OFF-FA-6129,TEC-AC-5178,2
FUR-FU-4050,OFF-BI-4343,2
OFF-BI-4368,TEC-PH-4455,2
FUR-FU-5987,TEC-PH-3811,2
OFF-FA-6129,OFF-PA-6414,2
OFF-FA-6129,OFF-PA-6528,2
OFF-BI-6387,OFF-FA-6129,2
FUR-TA-4943,TEC-PH-6313,2
OFF-BI-4364,OFF-BI-6373,2
OFF-BI-4368,OFF-FA-6129,2
OFF-PA-6420,OFF-PA-6431,2
OFF-BI-4832,OFF-FA-6129,2
OFF-FA-6129,TEC-AC-5179,2
FUR-TA-3561,TEC-PH-3123,2
FUR-CH-5790,OFF-AP-3400,2
OFF-BI-6408,OFF-FA-6129,2
OFF-AR-5458,OFF-LA-3226,2
OFF-FA-6129,OFF-PA-6428,2
FUR-FU-3911,OFF-FA-6129,2
OFF-BI-4378,OFF-ST-3745,2
OFF-FA-6129,TEC-AC-4872,2
OFF-FA-6129,OFF-PA-6092,2
OFF-BI-3302,OFF-FA-6129,2
FUR-TA-4677,TEC-AC-5605,2
OFF-ST-6290,TEC-AC-5151,2
FUR-BO-5522,OFF-BI-4367,2
FUR-CH-4429,OFF-FA-6129,2
OFF-AR-3276,OFF-SU-2931,2
FUR-BO-3978,OFF-LA-3204,2
OFF-SU-3005,TEC-AC-5214,2
OFF-AR-3518,TEC-AC-5235,2
FUR-FU-4109,OFF-FA-5459,2
OFF-ST-2922,TEC-CO-3691,2
OFF-ST-5693,OFF-ST-5695,2
OFF-BI-4814,OFF-PA-4177,2
FUR-CH-4703,OFF-AR-6115,2
OFF-AR-3497,OFF-ST-6048,2
OFF-AR-5927,TEC-PH-5812,2
OFF-AR-3496,TEC-MA-5015,2
OFF-FA-6191,OFF-ST-6283,2
OFF-AR-3539,OFF-ST-4106,2
OFF-AR-5902,OFF-LA-6030,2
OFF-AR-3500,OFF-EN-3663,2
OFF-AR-3492,OFF-PA-6613,2
OFF-AR-6126,TEC-AC-3405,2
OFF-BI-4828,OFF-FA-3044,2
OFF-AR-6120,OFF-ST-6065,2
OFF-BI-3290,TEC-PH-3127,2
OFF-AR-5924,OFF-BI-3290,2
OFF-AR-5924,TEC-PH-3127,2
OFF-BI-3187,OFF-BI-4830,2
FUR-CH-4561,OFF-BI-3737,2
OFF-BI-3186,OFF-BI-3737,2
OFF-AR-6120,OFF-ST-6229,2
FUR-FU-3932,OFF-AR-3491,2
OFF-AR-3494,TEC-AC-5897,2
FUR-CH-5414,OFF-ST-6033,2
OFF-AR-6106,OFF-BI-4826,2
OFF-AR-3449,OFF-ST-4295,2
OFF-BI-4830,OFF-ST-6033,2
OFF-BI-2895,OFF-ST-6031,2
OFF-ST-6250,TEC-MA-5013,2
OFF-AR-6120,OFF-ST-4107,2
OFF-AR-3467,TEC-AC-5124,2
FUR-FU-6253,OFF-SU-4982,2
OFF-ST-6059,TEC-PH-5836,2
OFF-AR-6113,TEC-PH-5355,2
OFF-AR-5930,OFF-BI-2917,2
OFF-AR-3491,OFF-ST-6033,2
OFF-BI-2894,OFF-ST-6274,2
OFF-AR-6128,OFF-BI-3189,2
OFF-AR-6128,OFF-SU-2980,2
OFF-BI-4805,OFF-FA-6189,2
FUR-BO-3893,OFF-BI-4805,2
FUR-CH-5774,OFF-ST-5700,2
OFF-ST-5694,TEC-PH-5831,2
OFF-PA-3999,TEC-PH-3787,2
OFF-AR-6113,OFF-ST-5687,2
OFF-AR-6113,TEC-AC-3405,2
OFF-AR-6120,OFF-ST-4260,2
OFF-BI-3734,OFF-BI-4811,2
OFF-AR-5902,TEC-PH-5832,2
OFF-AR-3538,OFF-AR-6120,2
FUR-BO-3647,OFF-LA-5375,2
OFF-ST-6033,TEC-MA-5512,2
FUR-BO-3906,OFF-FA-5469,2
OFF-PA-3993,OFF-ST-4293,2
OFF-AP-4949,OFF-PA-5884,2
OFF-EN-4450,OFF-ST-6261,2
OFF-AR-3477,TEC-MA-5540,2
OFF-ST-6026,TEC-AC-4156,2
OFF-AR-3492,OFF-ST-6047,2
OFF-AR-3491,OFF-BI-6385,2
OFF-BI-3726,OFF-BI-4828,2
OFF-BI-2891,OFF-EN-4903,2
FUR-BO-5785,OFF-AR-3534,2
FUR-BO-3899,OFF-ST-6283,2
TEC-AC-5200,TEC-CO-4586,2
FUR-BO-5777,OFF-EN-5023,2
OFF-EN-4903,OFF-ST-5693,2
OFF-BI-3251,OFF-LA-3260,2
OFF-BI-2900,OFF-SU-6173,2
FUR-CH-4523,OFF-ST-4293,2
OFF-PA-5870,TEC-MA-5578,2
OFF-ST-4260,TEC-AC-5221,2
FUR-FU-5724,OFF-SU-6168,2
OFF-ST-5707,TEC-AC-4178,2
FUR-CH-5802,OFF-PA-4473,2
OFF-LA-5402,OFF-SU-4996,2
OFF-FA-6196,OFF-LA-5402,2
OFF-AP-4719,OFF-ST-6048,2
FUR-CH-4546,OFF-BI-3736,2
FUR-BO-3639,TEC-PH-3139,2
FUR-CH-5411,TEC-AC-5216,2
FUR-CH-5756,TEC-CO-6002,2
OFF-ST-5692,OFF-ST-5695,2
OFF-FA-6202,TEC-CO-4582,2
OFF-FA-6200,OFF-LA-4678,2
OFF-AR-3525,OFF-LA-6053,2
OFF-AR-3481,OFF-BI-6381,2
OFF-AR-5911,OFF-EN-4907,2
FUR-CH-4564,TEC-CO-4775,2
OFF-BI-6379,OFF-ST-6057,2
OFF-BI-3719,OFF-ST-6057,2
OFF-BI-6370,TEC-AC-5115,2
FUR-CH-5372,OFF-EN-4915,2
OFF-AR-6122,TEC-CO-3705,2
FUR-CH-5452,TEC-AC-4174,2
FUR-BO-5961,OFF-AR-6120,2
OFF-BI-3246,OFF-PA-4177,2
OFF-AR-3502,OFF-BI-3718,2
OFF-BI-3718,TEC-AC-5127,2
OFF-BI-3718,TEC-PH-5355,2
TEC-AC-5216,TEC-CO-6012,2
FUR-CH-5413,OFF-BI-2913,2
OFF-ST-5703,OFF-ST-6275,2
OFF-AR-3488,TEC-CO-4780,2
OFF-PA-4162,OFF-PA-6616,2
FUR-FU-3048,OFF-BI-4810,2
OFF-FA-6187,TEC-PH-3807,2
FUR-CH-5457,OFF-BI-4805,2
FUR-CH-4703,FUR-CH-5758,2
FUR-BO-5771,OFF-BI-3723,2
OFF-LA-4637,TEC-AC-4158,2
OFF-ST-5706,OFF-ST-6261,2
FUR-BO-3893,OFF-ST-6032,2
OFF-AR-6120,TEC-MA-4205,2
OFF-FA-6189,TEC-PH-3807,2
OFF-AP-4964,OFF-FA-5484,2
FUR-CH-4654,OFF-FA-5464,2
OFF-BI-4809,OFF-ST-6033,2
OFF-BI-6398,TEC-CO-4588,2
OFF-AP-3867,OFF-AP-4949,2
OFF-BI-2894,OFF-LA-4678,2
OFF-LA-4664,OFF-PA-6622,2
OFF-BI-3737,OFF-PA-5884,2
OFF-FA-2954,OFF-FA-2960,2
OFF-BI-2891,TEC-CO-4790,2
OFF-ST-6273,TEC-PH-3145,2
FUR-CH-4632,OFF-BI-3249,2
FUR-BO-4859,TEC-AC-5887,2
OFF-ST-6275,TEC-CO-4568,2
OFF-BI-3712,OFF-EN-4443,2
FUR-FU-5724,OFF-AR-3494,2
OFF-BI-2896,OFF-ST-6248,2
FUR-CH-5412,TEC-CO-3704,2
OFF-AP-4745,OFF-FA-6206,2
OFF-AR-3465,OFF-FA-2947,2
OFF-ST-4106,OFF-SU-4980,2
OFF-AR-3531,OFF-AR-3533,2
OFF-ST-4263,OFF-SU-4986,2
OFF-BI-3253,OFF-ST-4263,2
OFF-BI-3736,OFF-SU-4986,2
OFF-ST-4267,TEC-PH-5355,2
OFF-BI-6400,OFF-ST-5692,2
OFF-BI-6405,OFF-FA-3060,2
OFF-BI-6405,TEC-MA-5502,2
OFF-AR-5923,OFF-EN-3676,2
OFF-BI-3290,OFF-EN-3676,2
OFF-BI-3726,OFF-ST-4061,2
FUR-BO-3907,OFF-AR-3476,2
OFF-AR-3464,OFF-ST-6048,2
OFF-BI-3255,OFF-BI-3722,2
OFF-AR-3495,OFF-AR-5911,2
OFF-AR-3497,OFF-ST-5705,2
FUR-CH-4683,OFF-AR-3494,2
OFF-BI-2896,OFF-FA-6208,2
FUR-CH-4521,FUR-FU-3928,2
OFF-AP-4496,OFF-AR-3527,2
OFF-BI-2915,OFF-BI-3734,2
OFF-AR-3537,TEC-AC-5133,2
OFF-AR-3462,OFF-AR-6120,2
OFF-AR-5912,OFF-BI-2891,2
OFF-AR-5912,OFF-ST-4094,2
OFF-ST-4094,TEC-AC-3384,2
OFF-BI-4817,OFF-SU-3003,2
OFF-AR-6120,OFF-FA-2952,2
OFF-BI-2912,TEC-CO-3682,2
OFF-BI-6400,TEC-MA-6146,2
OFF-AR-3494,TEC-AC-3390,2
OFF-AR-3539,OFF-AR-5925,2
OFF-AR-3546,OFF-ST-6281,2
OFF-AR-3532,TEC-AC-4156,2
FUR-FU-6260,OFF-SU-4328,2
OFF-AR-3492,OFF-ST-5693,2
OFF-BI-2883,OFF-ST-4260,2
OFF-AP-3865,OFF-ST-6281,2
OFF-BI-2893,OFF-ST-5692,2
OFF-AP-3861,OFF-BI-6399,2
OFF-BI-6402,OFF-SU-4991,2
TEC-MA-5571,TEC-PH-5355,2
OFF-AR-5911,OFF-FA-6207,2
OFF-BI-4807,OFF-EN-4926,2
OFF-AR-3458,OFF-AR-3465,2
OFF-AR-6125,OFF-BI-2881,2
FUR-FU-6254,OFF-AP-3577,2
OFF-ST-4029,OFF-SU-4124,2
OFF-FA-6204,OFF-ST-4029,2
FUR-CH-5412,OFF-ST-5692,2
OFF-BI-3289,OFF-BI-4830,2
OFF-FA-6208,OFF-ST-5686,2
OFF-AR-3495,OFF-ST-4294,2
OFF-AR-6119,OFF-BI-6382,2
FUR-FU-4064,OFF-SU-4325,2
OFF-BI-3738,OFF-ST-4106,2
OFF-EN-3654,OFF-ST-4260,2
FUR-FU-6242,OFF-AR-3540,2
OFF-BI-3186,OFF-SU-6168,2
OFF-EN-3670,TEC-PH-3128,2
OFF-AR-3463,OFF-ST-6033,2
OFF-LA-4542,OFF-ST-6282,2
OFF-BI-4808,TEC-PH-5359,2
OFF-AP-4733,OFF-AR-6126,2
OFF-AR-3540,OFF-AR-6127,2
OFF-AR-3540,OFF-SU-4986,2
FUR-FU-6268,TEC-PH-3144,2
OFF-AR-3456,OFF-AR-3537,2
OFF-BI-3291,TEC-PH-5832,2
OFF-EN-3667,TEC-AC-4173,2
OFF-BI-3248,TEC-AC-5102,2
OFF-BI-3187,OFF-ST-4057,2
OFF-AR-6126,OFF-ST-4057,2
OFF-AR-5932,OFF-ST-4057,2
OFF-BI-3716,TEC-CO-4593,2
OFF-PA-4480,OFF-ST-6068,2
OFF-BI-2896,OFF-FA-6204,2
FUR-CH-5774,FUR-FU-6259,2
FUR-FU-4041,OFF-ST-6281,2
OFF-BI-2917,OFF-BI-3257,2
OFF-BI-3724,TEC-PH-3787,2
OFF-AR-5905,TEC-PH-5814,2
OFF-BI-3713,OFF-ST-6250,2
OFF-BI-2899,OFF-BI-6402,2
OFF-BI-6375,OFF-EN-5026,2
OFF-AR-3532,OFF-AR-3533,2
OFF-AR-6113,OFF-BI-4818,2
OFF-BI-3721,TEC-PH-5351,2
OFF-AP-4747,OFF-BI-3726,2
OFF-AR-6108,TEC-PH-5357,2
OFF-EN-3663,OFF-ST-4030,2
OFF-AR-6119,OFF-FA-6190,2
OFF-BI-4812,OFF-BI-6384,2
FUR-CH-4702,OFF-LA-5392,2
OFF-BI-2881,TEC-MA-5008,2
OFF-BI-3293,OFF-SU-4313,2
FUR-FU-5741,OFF-AR-3532,2
OFF-EN-4453,OFF-SU-4303,2
OFF-AR-3539,OFF-ST-6248,2
OFF-FA-2959,OFF-PA-4480,2
OFF-PA-5868,OFF-SU-3001,2
FUR-BO-5769,FUR-FU-5738,2
FUR-CH-5796,TEC-AC-5895,2
OFF-AR-3476,OFF-ST-4031,2
OFF-AR-6113,OFF-SU-4306,2
OFF-BI-3293,OFF-BI-6381,2
OFF-EN-4911,OFF-FA-2958,2
OFF-BI-4806,OFF-ST-4029,2
TEC-AC-5887,TEC-CO-4779,2
OFF-EN-3094,OFF-ST-6026,2
OFF-AR-6110,TEC-CO-3604,2
FUR-BO-5798,OFF-ST-5693,2
OFF-BI-3716,OFF-SU-6177,2
OFF-AP-4501,TEC-AC-5866,2
OFF-AR-5923,TEC-AC-5193,2
FUR-CH-5441,OFF-PA-3991,2
FUR-CH-5457,OFF-AR-3457,2
OFF-ST-4029,OFF-SU-3002,2
FUR-CH-5447,OFF-BI-2883,2
FUR-CH-5802,OFF-PA-4483,2
FUR-CH-4655,FUR-CH-5802,2
FUR-FU-3943,OFF-BI-2917,2
OFF-AR-3532,OFF-AR-3538,2
OFF-FA-6193,OFF-PA-4471,2
OFF-FA-6193,TEC-PH-5812,2
OFF-PA-4143,TEC-CO-6007,2
FUR-FU-5730,OFF-LA-4527,2
TEC-AC-5116,TEC-CO-5990,2
FUR-CH-4563,TEC-CO-3604,2
FUR-FU-5741,TEC-PH-5836,2
FUR-CH-5456,OFF-AR-5926,2
OFF-ST-4260,TEC-PH-5846,2
OFF-AR-3545,OFF-EN-3108,2
OFF-ST-5695,OFF-SU-6168,2
FUR-BO-3906,OFF-AR-5930,2
OFF-AR-3554,TEC-PH-5355,2
OFF-AR-3491,OFF-ST-6274,2
FUR-FU-6238,OFF-AR-5905,2
FUR-FU-6238,OFF-BI-3720,2
FUR-FU-6238,OFF-EN-4446,2
FUR-BO-4845,FUR-FU-6238,2
FUR-BO-4845,OFF-AR-5905,2
FUR-BO-4845,OFF-BI-3720,2
FUR-BO-4845,OFF-EN-4446,2
OFF-BI-3720,OFF-EN-4446,2
OFF-AR-5905,OFF-BI-3720,2
OFF-AR-5905,OFF-EN-4446,2
OFF-EN-4446,OFF-SU-4116,2
OFF-EN-4446,TEC-AC-4186,2
OFF-EN-4446,TEC-MA-5003,2
OFF-SU-4116,TEC-AC-4186,2
OFF-SU-4116,TEC-MA-5003,2
TEC-AC-4186,TEC-MA-5003,2
OFF-BI-6398,OFF-EN-4446,2
OFF-BI-6398,OFF-SU-4116,2
OFF-BI-6398,TEC-AC-4186,2
OFF-BI-6398,TEC-MA-5003,2
FUR-CH-4698,OFF-FA-2955,2
OFF-AR-6106,OFF-FA-3022,2
FUR-FU-3941,OFF-EN-4440,2
